"Product/ID,""product_id"",""location_id"",""qty"""
"__export__.product_product_145438_12deec12,""145438"","""",""30.0"""
"__export__.product_product_58388_eb11702d,""58388"","""",""110.0"""
"__export__.product_product_58389_4ff55349,""58389"","""",""75.0"""
"__export__.product_product_199263_5f02a35b,""199263"","""",""0.0"""
"__export__.product_product_220882_c61df857,""220882"","""",""0.0"""
"__export__.product_product_220883_be795ac2,""220883"","""",""0.0"""
"__export__.product_product_220884_07437e90,""220884"","""",""0.0"""
"__export__.product_product_220885_3433eff3,""220885"","""",""0.0"""
"__export__.product_product_220886_32a4f87f,""220886"","""",""0.0"""
"__export__.product_product_220887_98cb3d74,""220887"","""",""0.0"""
"__export__.product_product_199262_cf0dcd6c,""199262"","""",""0.0"""
"__export__.product_product_199261_28d5e474,""199261"","""",""0.0"""
"__export__.product_product_199260_96382287,""199260"","""",""0.0"""
"__export__.product_product_84711_2dc8beac,""84711"","""",""10.0"""
"__export__.product_product_84703_aea15925,""84703"","""",""0.0"""
"__export__.product_product_199419_2f8f03f2,""199419"","""",""0.0"""
"__export__.product_product_199264_143135be,""199264"","""",""0.0"""
"__export__.product_product_30514_06487717,""30514"","""",""25.0"""
"__export__.product_product_196234_b698faba,""196234"","""",""0.0"""
"__export__.product_product_201912_72aedb8b,""201912"","""",""0.0"""
"__export__.product_product_118516_9152dca7,""118516"","""",""0.0"""
"__export__.product_product_118517_1534d2cd,""118517"","""",""11.0"""
"__export__.product_product_118518_54b1a805,""118518"","""",""11.0"""
"__export__.product_product_118519_1fec89fd,""118519"","""",""11.0"""
"__export__.product_product_118520_fbaf9be6,""118520"","""",""11.0"""
"__export__.product_product_118521_f30b9ae9,""118521"","""",""12.0"""
"__export__.product_product_118537_600afe05,""118537"","""",""37.0"""
"__export__.product_product_118768_001a48c2,""118768"","""",""-5.0"""
"__export__.product_product_144723_cfbde385,""144723"","""",""0.0"""
"__export__.product_product_144724_d30df476,""144724"","""",""0.0"""
"__export__.product_product_144725_09acf1a6,""144725"","""",""0.0"""
"__export__.product_product_144722_61a26976,""144722"","""",""10.0"""
"__export__.product_product_144639_d7d5ca2c,""144639"","""",""0.0"""
"__export__.product_product_144641_097a8b02,""144641"","""",""0.0"""
"__export__.product_product_144640_9a6cf4f8,""144640"","""",""0.0"""
"__export__.product_product_144642_491f3850,""144642"","""",""1.0"""
"__export__.product_product_160168_f14e3e6f,""160168"","""",""0.0"""
"__export__.product_product_144637_945738ad,""144637"","""",""0.0"""
"__export__.product_product_144638_94973333,""144638"","""",""0.0"""
"__export__.product_product_152084_012c59e9,""152084"","""",""0.0"""
"__export__.product_product_144647_436a5435,""144647"","""",""0.0"""
"__export__.product_product_144648_d9f64677,""144648"","""",""0.0"""
"__export__.product_product_144649_71b19c1a,""144649"","""",""0.0"""
"__export__.product_product_144651_59e44a57,""144651"","""",""0.0"""
"__export__.product_product_144652_8e8d0f25,""144652"","""",""1.0"""
"__export__.product_product_144650_cdd0cb4e,""144650"","""",""0.0"""
"__export__.product_product_144653_8f07ff66,""144653"","""",""0.0"""
"__export__.product_product_54643_d989ded5,""54643"","""",""0.0"""
"__export__.product_product_54642_e0df10d3,""54642"","""",""0.0"""
"__export__.product_product_54644_81d41243,""54644"","""",""0.0"""
"__export__.product_product_18786_77362921,""18786"","""",""8.0"""
"__export__.product_product_18787_07d1c281,""18787"","""",""19.0"""
"__export__.product_product_18788_bac1be41,""18788"","""",""6.0"""
"__export__.product_product_18767_be4b0bd6,""18767"","""",""13.0"""
"__export__.product_product_18768_031be886,""18768"","""",""24.0"""
"__export__.product_product_18769_e7e970c7,""18769"","""",""24.0"""
"__export__.product_product_18770_d5ecee31,""18770"","""",""67.0"""
"__export__.product_product_18771_e2bbc908,""18771"","""",""47.0"""
"__export__.product_product_18772_eec2ea19,""18772"","""",""60.0"""
"__export__.product_product_54645_03542306,""54645"","""",""0.0"""
"__export__.product_product_144831_63495150,""144831"","""",""4.0"""
"__export__.product_product_144586_43a1706d,""144586"","""",""0.0"""
"__export__.product_product_144588_8a51ea0d,""144588"","""",""6.0"""
"__export__.product_product_144583_a2433bf2,""144583"","""",""3.0"""
"__export__.product_product_144584_9a9a483c,""144584"","""",""5.0"""
"__export__.product_product_144585_90899fc3,""144585"","""",""1.0"""
"__export__.product_product_144587_59a2e9fc,""144587"","""",""1.0"""
"__export__.product_product_54654_085b44c2,""54654"","""",""57.0"""
"__export__.product_product_144632_5a47d9e5,""144632"","""",""0.0"""
"__export__.product_product_144633_0ed5d794,""144633"","""",""0.0"""
"__export__.product_product_144634_b0b7dacc,""144634"","""",""0.0"""
"__export__.product_product_32017_30a5af59,""32017"","""",""0.0"""
"__export__.product_product_32018_ee686c46,""32018"","""",""6.0"""
"__export__.product_product_32139_6329211c,""32139"","""",""2.0"""
"__export__.product_product_32138_b2aee469,""32138"","""",""0.0"""
"__export__.product_product_32140_d679450d,""32140"","""",""1.0"""
"__export__.product_product_32136_a286eadd,""32136"","""",""0.0"""
"__export__.product_product_32105_5c07eb29,""32105"","""",""0.0"""
"__export__.product_product_32103_d0d1844d,""32103"","""",""0.0"""
"__export__.product_product_32097_8e8ace1d,""32097"","""",""0.0"""
"__export__.product_product_32100_6caa9425,""32100"","""",""0.0"""
"__export__.product_product_32065_94030d97,""32065"","""",""0.0"""
"__export__.product_product_32066_7470abd4,""32066"","""",""0.0"""
"__export__.product_product_32068_b2c39775,""32068"","""",""152.0"""
"__export__.product_product_32063_11e16447,""32063"","""",""181.0"""
"__export__.product_product_32033_2a7070f0,""32033"","""",""5.0"""
"__export__.product_product_32036_b080e79b,""32036"","""",""19.0"""
"__export__.product_product_32107_fdbbd8d8,""32107"","""",""0.0"""
"__export__.product_product_32109_9defcc75,""32109"","""",""0.0"""
"__export__.product_product_32081_904c2f5f,""32081"","""",""0.0"""
"__export__.product_product_32082_277b947a,""32082"","""",""0.0"""
"__export__.product_product_32115_6c58bfe8,""32115"","""",""0.0"""
"__export__.product_product_32116_204e2425,""32116"","""",""0.0"""
"__export__.product_product_32129_d0781264,""32129"","""",""35.0"""
"__export__.product_product_32128_34c59210,""32128"","""",""0.0"""
"__export__.product_product_32130_621db77d,""32130"","""",""0.0"""
"__export__.product_product_32046_1fe01ae8,""32046"","""",""0.0"""
"__export__.product_product_32047_455028fd,""32047"","""",""0.0"""
"__export__.product_product_54675_1936fac9,""54675"","""",""2.0"""
"__export__.product_product_144703_4875e8b2,""144703"","""",""51.0"""
"__export__.product_product_144704_e981c792,""144704"","""",""67.0"""
"__export__.product_product_144695_6e21539a,""144695"","""",""293.0"""
"__export__.product_product_144696_cf6c1bdb,""144696"","""",""108.0"""
"__export__.product_product_144701_1596d33f,""144701"","""",""0.0"""
"__export__.product_product_144702_cf259ca7,""144702"","""",""10.0"""
"__export__.product_product_144699_014e3de6,""144699"","""",""125.0"""
"__export__.product_product_144700_521d46c5,""144700"","""",""0.0"""
"__export__.product_product_32119_ec73a429,""32119"","""",""0.0"""
"__export__.product_product_110260_80db386a,""110260"","""",""0.0"""
"__export__.product_product_32120_3e7b45da,""32120"","""",""0.0"""
"__export__.product_product_32121_d200bfa1,""32121"","""",""0.0"""
"__export__.product_product_32122_da389c0d,""32122"","""",""0.0"""
"__export__.product_product_32123_679d5ce3,""32123"","""",""0.0"""
"__export__.product_product_32124_ee0c824e,""32124"","""",""0.0"""
"__export__.product_product_32031_980628b5,""32031"","""",""0.0"""
"__export__.product_product_32032_bf4506e1,""32032"","""",""0.0"""
"__export__.product_product_32060_985d7d53,""32060"","""",""0.0"""
"__export__.product_product_32037_fee9f034,""32037"","""",""83.0"""
"__export__.product_product_32137_f7515b23,""32137"","""",""0.0"""
"__export__.product_product_32135_f7484d07,""32135"","""",""5.0"""
"__export__.product_product_144765_44d68fe0,""144765"","""",""37.0"""
"__export__.product_product_144763_06aad636,""144763"","""",""78.0"""
"__export__.product_product_144764_6d6e9ec8,""144764"","""",""102.0"""
"__export__.product_product_144873_60a91291,""144873"","""",""0.0"""
"__export__.product_product_144629_ae427542,""144629"","""",""5.0"""
"__export__.product_product_144630_bbd0d0f6,""144630"","""",""0.0"""
"__export__.product_product_144631_d1bfbc99,""144631"","""",""0.0"""
"__export__.product_product_144628_aab6543c,""144628"","""",""0.0"""
"__export__.product_product_54641_8dd3eb15,""54641"","""",""0.0"""
"__export__.product_product_54650_9156cd4d,""54650"","""",""0.0"""
"__export__.product_product_54699_cc5418a9,""54699"","""",""0.0"""
"__export__.product_product_54702_219b7321,""54702"","""",""18.0"""
"__export__.product_product_144817_b8c29c36,""144817"","""",""7.0"""
"__export__.product_product_144818_9bacde29,""144818"","""",""17.0"""
"__export__.product_product_144799_5762b05f,""144799"","""",""40.0"""
"__export__.product_product_144798_6bf9e74d,""144798"","""",""14.0"""
"__export__.product_product_144815_d836fe5f,""144815"","""",""49.0"""
"__export__.product_product_144816_9eb69aa6,""144816"","""",""14.0"""
"__export__.product_product_144806_b2bd49b6,""144806"","""",""13.0"""
"__export__.product_product_144805_51a79a0a,""144805"","""",""39.0"""
"__export__.product_product_144800_f3cff15d,""144800"","""",""48.0"""
"__export__.product_product_144802_f5ad31b0,""144802"","""",""0.0"""
"__export__.product_product_144801_72cf02ef,""144801"","""",""56.0"""
"__export__.product_product_144803_d5c429e0,""144803"","""",""96.0"""
"__export__.product_product_144804_62089703,""144804"","""",""64.0"""
"__export__.product_product_144812_9fc67bed,""144812"","""",""59.0"""
"__export__.product_product_144811_aa5df37e,""144811"","""",""17.0"""
"__export__.product_product_144813_ee38417a,""144813"","""",""23.0"""
"__export__.product_product_144814_99d1b3f0,""144814"","""",""36.0"""
"__export__.product_product_144807_292b549f,""144807"","""",""22.0"""
"__export__.product_product_144810_822995c7,""144810"","""",""19.0"""
"__export__.product_product_144808_d52518d6,""144808"","""",""23.0"""
"__export__.product_product_144809_c262d88a,""144809"","""",""22.0"""
"__export__.product_product_232346_6209e2f4,""232346"","""",""0.0"""
"__export__.product_product_144795_60955989,""144795"","""",""29.0"""
